Breed,Age,Height,Weight,Character Traits,Health_Problems
Irish Setter,13.5,66.04,29.48350405,"Active, Outgoing, Sweet-Natured","Hip dysplasia, epilepsy, bladder stones"
English Cocker Spaniel,13,40.64,13.6077711,"Energetic, Merry, Responsive","Dental problems, eye issues, skin allergies"
Parson Russell Terrier,14,34.29,6.80388555,"Friendly, Clever, Athletic","Hip dysplasia, obesity, ear infections"
Airedale Terrier,12.5,58.42,27.2155422,"Friendly, Clever, Courageous","Hip dysplasia, eye problems, cancer"
Carolina Dog,12.54054312,47.3075,19.27767573,"Loyal, Independent, Reserved with Strangers","Dental problems, respiratory issues, eye problems"
Lapponian Herder,12,48.26,31.7514659,"Friendly, Energetic, Intelligent","Hip dysplasia, epilepsy, bladder stones"
Peruvian Inca Orchid,13,45.085,14.40155775,"Affectionate, Loyal, Noble","Breathing problems, eye problems, hip dysplasia"
Romanian Mioritic Shepherd Dog,13,65.405,52.16312255,"Loyal, Independent, Confident Guardian","Dental problems, skin allergies, hip dysplasia"
Yorkshire Terrier,13,19.05,3.17514659,"Affectionate, Sprightly, Tomboyish","Hip dysplasia, heart conditions, cancer"
German Shorthaired Pointer,11,58.42,26.08156128,"Friendly, Smart, Willing to Please","Hip dysplasia, heart conditions, cancer"
American Foxhound,12,58.42,29.48350405,"Independent, Easy-Going, Sweet-Tempered","Hip dysplasia, eye problems, cancer"
Bracco Italiano,12,60.96,32.88544683,"Affectionate, Intelligent, Enthusiastic","Dental problems, eye issues, skin allergies"
French Spaniel,11,57.785,24.94758035,"Gentle, Sociable, Intelligent","Dental problems, eye problems, skin allergies"
Eurasier,14,54.61,24.94758035,"Confident, Calm, Family-Oriented","Dental problems, eye issues, skin allergies"
Shih Tzu,14,24.765,5.669904625,"Affectionate, Playful, Outgoing","Dental problems, eye issues, skin allergies"
Teddy Roosevelt Terrier,15,29.21,7.484274105,"Playful, Versatile, Intelligent","Hip dysplasia, cancer, heart conditions"
Lagotto Romagnolo,16,44.45,13.38097492,"Affectionate, Keen, Undemanding","Dental problems, eye issues, skin allergies"
Bullmastiff,8,64.77,52.16312255,"Affectionate, Loyal, Brave","Dental problems, respiratory issues, eye problems"
Stabyhoun,14,50.8,22.6796185,"Intelligent, Responsive, Loving","Dental problems, eye issues, skin allergies"
English Toy Spaniel,11,24.13,4.98951607,"Gentle, Playful, Intelligent","Dental problems, eye issues, skin allergies"
Croatian Sheepdog,13.5,45.72,16.55612151,"Loyal, Active, Alert and Intelligent","Dental problems, eye issues, skin allergies"
Affenpinscher,13.5,26.035,3.855535145,"Confident, Famously Funny, Fearless","Dental problems, eye issues, skin allergies"
Alaskan Malamute,12,60.96,36.2873896,"Affectionate, Loyal, Playful","Hip dysplasia, eye problems, cancer"
Biewer Terrier,16,22.86,2.72155422,"Intelligent, Devoted, Amusing","Dental problems, skin allergies, hip dysplasia"
Redbone Coonhound,13.5,60.96,26.08156128,"Even-Tempered, Amiable, Eager to Please","Dental problems, ear infections, obesity"
Bearded Collie,13,53.34,22.6796185,"Smart, Bouncy, Charismatic","Dental problems, eye issues, skin allergies"
Chihuahua,15,16.51,2.72155422,"Charming, Graceful, Sassy","Dental problems, eye issues, skin allergies"
Dandie Dinmont Terrier,13.5,24.13,9.52543977,"Independent, Smart, Proud","Dental problems, eye problems, skin allergies"
Sussex Spaniel,14,35.56,18.1436948,"Friendly, Merry, Even-Tempered","Dental problems, eye issues, respiratory issues"
Appenzeller Sennenhund,13.5,52.07,26.76194983,"Agile, Versatile, Lively","Hip dysplasia, epilepsy, bladder stones"
Basset Fauve de Bretagne,12,35.56,14.06136347,"Smart, Cheerful, Determined","Dental problems, eye issues, skin allergies"
French Bulldog,11,30.48,12.70058636,"Adaptable, Playful, Smart","Dental problems, eye problems, skin allergies"
Shikoku,11,49.53,20.41165665,"Energetic, Alert, Enthusiastic","Hip dysplasia, cancer, elbow dysplasia"
Miniature Schnauzer,13.5,33.02,7.030681735,"Friendly, Smart, Obedient","Hip dysplasia, cancer, skin allergies"
Wetterhoun,13,35.56,28.34952312,"Loyal, Good-Natured, Intelligent","Hip dysplasia, elbow dysplasia, pancreatitis"
Tornjak,13,64.77,39.00894382,"Friendly, Courageous, Intelligent","Hip dysplasia, eye problems, skin allergies"
Bolognese,13,27.94,3.288544683,"Playful, Easy-Going, Devoted","Hip dysplasia, obesity, ear infections"
Miniature American Shepherd,12.5,39.37,13.6077711,"Good-Natured, Intelligent, Devoted","Dental problems, eye issues, skin allergies"
Stabyhoun,14,50.8,22.6796185,"Intelligent, Responsive, Loving","Dental problems, eye issues, skin allergies"
Miniature Pinscher,14,28.575,4.08233133,"Fearless, Fun-Loving, Proud","Dental problems, skin allergies, hip dysplasia"
Scottish Deerhound,9.5,76.2,41.95729423,"Gentle, Dignified, Polite","Dental problems, eye issues, skin allergies"
Norwich Terrier,13.5,25.4,5.44310844,"Affectionate, Alert, Curious","Dental problems, eye issues, skin allergies"
Cocker Spaniel,12,36.83,11.33980925,"Gentle, Smart, Happy","Dental problems, eye issues, skin allergies"
Schapendoes,13.5,45.72,18.37049099,"Friendly, Watchful, Lively","Dental problems, eye issues, skin allergies"
Irish Terrier,14,45.72,11.79340162,"Bold, Dashing, Tenderhearted","Dental problems, eye issues, skin allergies"
Welsh Terrier,13.5,38.1,9.0718474,"Friendly, Spirited, Intelligent","Dental problems, skin allergies, hip dysplasia"
Cardigan Welsh Corgi,13.5,29.21,14.28815966,"Affectionate, Loyal, Smart","Dental problems, eye problems, skin allergies"
Poodle (Toy),14,25.4,2.26796185,"Agile, Intelligent, Self-Confident","Dental problems, skin allergies, hip dysplasia"
Clumber Spaniel,11,46.99,31.7514659,"Mellow, Amusing, Gentlemanly","Dental problems, eye issues, skin allergies"
Coton de Tulear,17,25.4,5.216312255,"Charming, Bright, Happy-Go-Lucky","Hip dysplasia, obesity, ear infections"
Romanian Mioritic Shepherd Dog,13,65.405,52.16312255,"Loyal, Independent, Confident Guardian","Dental problems, skin allergies, hip dysplasia"
Staffordshire Bull Terrier,13,38.1,14.06136347,"Clever, Brave, Tenacious","Dental problems, skin allergies, hip dysplasia"
Boykin Spaniel,12.5,40.64,14.74175203,"Friendly, Eager, Lovable","Dental problems, eye issues, skin allergies"
Flat-Coated Retriever,9,59.055,29.48350405,"Cheerful, Optimistic, Good-Humored","Hip dysplasia, obesity, ear infections"
Barbet,13,55.245,22.6796185,"Friendly, Bright, Sweet-Natured","Dental problems, eye issues, skin allergies"
Pointer,14.5,64.77,27.2155422,"Loyal, Hardworking, Even-Tempered","Dental problems, eye issues, skin allergies"
Great Dane,8.5,76.2,64.63691273,"Friendly, Patient, Dependable","Dental problems, eye issues, skin allergies"
Weimaraner,11.5,63.5,32.88544683,"Friendly, Fearless, Obedient","Hip dysplasia, heart conditions, cancer"
Russian Toy,13,24.13,2.948350405,"Loyal, Smart, Charming","Hip dysplasia, eye problems, heart conditions"
Polish Lowland Sheepdog,13,46.99,18.1436948,"Confident, Clever, Lively","Skin allergies, respiratory issues, obesity"
Boxer,11,59.055,21.54563758,"Bright, Fun-Loving, Active","Dental problems, eye issues, skin allergies"
Chinese Shar-Pei,10,48.26,23.81359943,"Loyal, Independent, Calm","Breathing problems, eye problems, hip dysplasia"
Labrador Retriever,11,58.42,30.61748498,"Friendly, Active, Outgoing","Hip dysplasia, eye problems, skin allergies"
Thai Ridgeback,12.5,55.88,24.94758035,"Loyal, Independent, Agile","Hip dysplasia, cancer, skin allergies"
Barbet,13,55.245,22.6796185,"Friendly, Bright, Sweet-Natured","Dental problems, eye issues, skin allergies"
Dogo Argentino,12,64.135,42.63768278,"Friendly, Cheerful, Humble","Hip dysplasia, heart conditions, cancer"
Sussex Spaniel,14,35.56,18.1436948,"Friendly, Merry, Even-Tempered","Hip dysplasia, eye problems, cancer"
Staffordshire Bull Terrier,13,38.1,14.06136347,"Clever, Brave, Tenacious","Dental problems, eye issues, skin allergies"
Kai Ken,13.5,44.45,13.6077711,"Loyal, Agile, Keen","Dental problems, eye problems, respiratory issues"
Soft Coated Wheaten Terrier,13,45.72,15.87573295,"Friendly, Happy, Deeply Devoted","Dental problems, eye issues, skin allergies"
Bluetick Coonhound,11.5,60.96,28.34952312,"Smart, Devoted, Tenacious","Dental problems, eye issues, skin allergies"
Bouvier des Flandres,11,64.77,40.8233133,"Affectionate, Courageous, Strong-Willed","Dental problems, eye issues, skin allergies"
Lancashire Heeler,13.5,27.94,5.89670081,"Affectionate, Versatile, Intelligent","Dental problems, eye issues, skin allergies"
Croatian Sheepdog,13.5,45.72,16.55612151,"Loyal, Active, Alert and Intelligent","Dental problems, skin allergies, hip dysplasia"
Standard Schnauzer,14.5,46.99,18.1436948,"Fearless, Smart, Spirited","Dental problems, eye problems, obesity"
Thai Ridgeback,12.5,55.88,24.94758035,"Loyal, Independent, Agile","Dental problems, eye problems, bladder stones"
Cairn Terrier,14,24.765,6.123496995,"Alert, Cheerful, Busy","Dental problems, eye issues, skin allergies"
Keeshond,13.5,44.45,18.1436948,"Friendly, Lively, Outgoing","Hip dysplasia, epilepsy, bladder stones"
Bullmastiff,8,64.77,52.16312255,"Affectionate, Loyal, Brave","Hip dysplasia, epilepsy, bladder stones"
Afghan Hound,13.5,66.04,24.94758035,"Dignified, Profoundly Loyal, Aristocratic","Dental problems, eye problems, skin allergies"
Bluetick Coonhound,11.5,60.96,28.34952312,"Smart, Devoted, Tenacious","Hip dysplasia, eye problems, cancer"
Chinese Shar-Pei,10,48.26,23.81359943,"Loyal, Independent, Calm","Hip dysplasia, heart conditions, cancer"
Clumber Spaniel,11,46.99,31.7514659,"Mellow, Amusing, Gentlemanly","Hip dysplasia, epilepsy, bladder stones"
Dogue de Bordeaux,6.5,62.23,47.40040267,"Affectionate, Loyal, Courageous","Dental problems, pancreatitis, diabetes"
Tornjak,13,64.77,39.00894382,"Friendly, Courageous, Intelligent","Dental problems, eye problems, bladder stones"
Staffordshire Bull Terrier,13,38.1,14.06136347,"Clever, Brave, Tenacious","Hip dysplasia, heart conditions, cancer"
Beagle,12.5,35.56,9,"Friendly, Curious, Merry","Ear infections, hip dysplasia, eye problems"
Kromfohrlander,14,41.91,12.47379018,"Intelligent, Active, Sensitive","Dental problems, eye issues, skin allergies"
Irish Water Spaniel,12.5,57.15,25.62796891,"Playful, Hardworking, Brave","Hip dysplasia, cancer, heart conditions"
Bohemian Shepherd,13.5,52.07,21.99922995,"Friendly, Devoted, Alert and Intelligent","Dental problems, eye issues, skin allergies"
German Wirehaired Pointer,15,60.96,27.2155422,"Affectionate, Eager, Enthusiastic","Dental problems, eye issues, skin allergies"
Norwegian Lundehund,13.5,34.29,11.33980925,"Loyal, Energetic, Alert","Dental problems, eye issues, skin allergies"
Bullmastiff,8,64.77,52.16312255,"Affectionate, Loyal, Brave","Dental problems, respiratory issues, eye problems"
Bedlington Terrier,13.5,41.275,9.0718474,"Loyal, Charming, Frollicking","Dental problems, eye issues, skin allergies"
Irish Wolfhound,7,78.74,51.02914163,"Courageous, Dignified, Calm","Dental problems, eye issues, skin allergies"
Caucasian Shepherd Dog,11,67.31,61.00817377,"Fearless, Bold, Kind","Dental problems, respiratory issues, eye problems"
Irish Water Spaniel,12.5,57.15,25.62796891,"Playful, Hardworking, Brave","Hip dysplasia, eye problems, cancer"
Chinese Shar-Pei,10,48.26,23.81359943,"Loyal, Independent, Calm","Dental problems, skin allergies, hip dysplasia"
Bernese Mountain Dog,8.5,64.135,41.95729423,"Good-Natured, Calm, Strong","Dental problems, eye problems, skin allergies"
Plott Hound,13,57.15,22.6796185,"Loyal, Alert, Intelligent","Hip dysplasia, epilepsy, bladder stones"
Russian Tsvetnaya Bolonka,14,24.13,3.515340868,"Playful, Charming, Inquisitive","Dental problems, eye issues, skin allergies"
Newfoundland,9.5,68.58,56.69904625,"Sweet, Patient, Devoted","Dental problems, eye problems, bladder stones"
Romanian Mioritic Shepherd Dog,13,65.405,52.16312255,"Loyal, Independent, Confident Guardian","Hip dysplasia, cancer, skin allergies"
Poodle (Toy),14,25.4,2.26796185,"Agile, Intelligent, Self-Confident","Dental problems, eye issues, skin allergies"
Bullmastiff,8,64.77,52.16312255,"Affectionate, Loyal, Brave","Dental problems, eye issues, skin allergies"
Komondor,11,67.31,40.8233133,"Loyal, Dignified, Brave","Dental problems, eye issues, skin allergies"
Chinook,13.5,60.96,31.7514659,"Smart, Patient, Devoted","Dental problems, skin allergies, hip dysplasia"
Bolognese,13,27.94,3.288544683,"Playful, Easy-Going, Devoted","Dental problems, pancreatitis, diabetes"
Samoyed,13,53.975,22.6796185,"Adaptable, Friendly, Gentle","Dental problems, eye issues, skin allergies"
Cirneco dell’Etna,13,45.72,9.752235955,"Affectionate, Friendly, Independent","Hip dysplasia, epilepsy, bladder stones"
English Foxhound,11.5,60.96,30.61748498,"Affectionate, Gentle, Sociable","Dental problems, eye issues, skin allergies"
Harrier,13.5,50.8,23.81359943,"Friendly, Outgoing, People-Oriented","Dental problems, eye issues, skin allergies"
Irish Water Spaniel,12.5,57.15,25.62796891,"Playful, Hardworking, Brave","Dental problems, eye issues, skin allergies"
Manchester Terrier (Standard),16,39.37,7.71107029,"Spirited, Bright, Keenly Observant","Skin allergies, respiratory issues, obesity"
Irish Terrier,14,45.72,11.79340162,"Bold, Dashing, Tenderhearted","Dental problems, eye issues, skin allergies"
English Toy Spaniel,11,24.13,4.98951607,"Gentle, Playful, Intelligent","Dental problems, eye issues, skin allergies"
Otterhound,11.5,64.77,44.22525608,"Even-Tempered, Amiable, Boisterous","Dental problems, ear infections, obesity"
Bull Terrier,12.5,54.61,27.2155422,"Playful, Charming, Mischievous","Hip dysplasia, cancer, elbow dysplasia"
Pyrenean Mastiff,11.5,71.12,81.6466266,"Gentle, Brave, Noble","Dental problems, eye issues, skin allergies"
Norwich Terrier,13.5,25.4,5.44310844,"Affectionate, Alert, Curious","Hip dysplasia, eye problems, cancer"
Azawakh,13.5,66.675,19.95806428,"Loyal, Independent, Deeply Affectionate","Dental problems, eye issues, skin allergies"
Leonberger,9,72.39,58.9670081,"Friendly, Gentle, Playful","Dental problems, eye issues, skin allergies"
Tibetan Mastiff,11,63.5,49.8951607,"Independent, Reserved, Intelligent","Dental problems, eye issues, skin allergies"
Australian Stumpy Tail Cattle Dog,13.5,46.99,17.46330625,"Alert, Trainable, Comical","Hip dysplasia, epilepsy, bladder stones"
Brittany,13,48.26,15.87573295,"Bright, Fun-Loving, Upbeat","Hip dysplasia, cancer, heart conditions"
Bolognese,13,27.94,3.288544683,"Playful, Easy-Going, Devoted","Dental problems, eye issues, skin allergies"
Basset Hound,12.5,38.1,23.81359943,"Charming, Patient, Low-Key","Dental problems, eye issues, skin allergies"
Manchester Terrier (Toy),16,27.94,5.44310844,"Agile, Spirited, Intelligent","Dental problems, eye issues, skin allergies"
Saint Bernard,9,71.12,68.0388555,"Playful, Charming, Inquisitive","Dental problems, eye issues, skin allergies"
Bluetick Coonhound,11.5,60.96,28.34952312,"Smart, Devoted, Tenacious","Hip dysplasia, heart conditions, cancer"
Bernese Mountain Dog,8.5,64.135,41.95729423,"Good-Natured, Calm, Strong","Eye problems, respiratory issues, obesity"
Staffordshire Bull Terrier,13,38.1,14.06136347,"Clever, Brave, Tenacious","Ear infections, hip dysplasia, eye problems"
West Highland White Terrier,14,26.67,7.937866475,"Loyal, Happy, Entertaining","Dental problems, eye issues, skin allergies"
Dachshund,14,17.78,9.752235955,"Friendly, Curious, Spunky","Hip dysplasia, eye problems, cancer"
Shih Tzu,14,24.765,5.669904625,"Affectionate, Playful, Outgoing","Hip dysplasia, cancer, skin allergies"
Flat-Coated Retriever,9,59.055,29.48350405,"Cheerful, Optimistic, Good-Humored","Hip dysplasia, eye problems, skin allergies"
Schipperke,13,29.21,5.89670081,"Confident, Alert, Curious","Dental problems, eye issues, skin allergies"
Keeshond,13.5,44.45,18.1436948,"Friendly, Lively, Outgoing","Dental problems, eye issues, skin allergies"
Poodle (Miniature),14,31.75,5.669904625,"Active, Proud, Very Smart","Dental problems, respiratory issues, eye problems"
Carolina Dog,12.54054312,47.3075,19.27767573,"Loyal, Independent, Reserved with Strangers","Dental problems, eye issues, skin allergies"
Chinese Crested,15.5,30.48,4.5359237,"Affectionate, Alert, Lively","Hip dysplasia, eye problems, skin allergies"
Tibetan Mastiff,11,63.5,49.8951607,"Independent, Reserved, Intelligent","Dental problems, ear infections, obesity"
Thai Ridgeback,12.5,55.88,24.94758035,"Loyal, Independent, Agile","Dental problems, eye problems, bladder stones"
Old English Sheepdog,11,54.61,36.2873896,"Adaptable, Gentle, Smart","Dental problems, eye problems, obesity"
Bohemian Shepherd,13.5,52.07,21.99922995,"Friendly, Devoted, Alert and Intelligent","Dental problems, eye issues, skin allergies"
Toy Fox Terrier,14,25.4,2.381359943,"Friendly, Alert, Intelligent","Hip dysplasia, heart conditions, cancer"
American Eskimo Dog,14,35.56,9.298643585,"Playful, Perky, Smart","Eye problems, respiratory issues, skin allergies"
Brittany,13,48.26,15.87573295,"Bright, Fun-Loving, Upbeat","Hip dysplasia, heart conditions, cancer"
Tornjak,13,64.77,39.00894382,"Friendly, Courageous, Intelligent","Hip dysplasia, eye problems, cancer"
Pomeranian,14,16.51,2.26796185,"Inquisitive, Bold, Lively","Dental problems, eye problems, skin allergies"
Irish Terrier,14,45.72,11.79340162,"Bold, Dashing, Tenderhearted","Hip dysplasia, obesity, ear infections"
Australian Terrier,13,26.67,7.937866475,"Affectionate, Courageous, Spirited","Eye problems, respiratory issues, obesity"
Dutch Shepherd,12.5,58.42,26.53515365,"Intelligent, Lively, Athletic","Hip dysplasia, eye problems, epilepsy"
Plott Hound,13,57.15,22.6796185,"Loyal, Alert, Intelligent","Dental problems, eye issues, skin allergies"
Wirehaired Pointing Griffon,13.5,55.88,23.81359943,"Friendly, Devoted, Trainable","Dental problems, eye issues, skin allergies"
Irish Wolfhound,7,78.74,51.02914163,"Courageous, Dignified, Calm","Dental problems, pancreatitis, diabetes"
Japanese Spitz,13,34.29,7.937866475,"Loyal, Playful, Smart","Hip dysplasia, heart conditions, cancer"
Bernese Mountain Dog,8.5,64.135,41.95729423,"Good-Natured, Calm, Strong","Dental problems, eye issues, skin allergies"
Jindo,14,50.8,18.1436948,"Alert, Intelligent, Bold","Dental problems, eye issues, skin allergies"
Havanese,15,25.4,4.5359237,"Intelligent, Outgoing, Funny","Dental problems, eye issues, skin allergies"
Russell Terrier,13,27.94,5.44310844,"Alert, Inquisitive, Lively","Dental problems, eye issues, skin allergies"
Gordon Setter,12.5,63.5,28.34952312,"Affectionate, Confident, Bold","Hip dysplasia, eye problems, skin allergies"
German Pinscher,13,46.99,15.87573295,"Courageous, Intelligent, Vivacious","Dental problems, eye issues, skin allergies"
Newfoundland,9.5,68.58,56.69904625,"Sweet, Patient, Devoted","Dental problems, eye issues, skin allergies"
Cavalier King Charles Spaniel,13.5,31.75,7.030681735,"Affectionate, Gentle, Graceful","Ear infections, hip dysplasia, eye problems"
Kuvasz,11,71.12,41.95729423,"Loyal, Fearless, Sweet","Hip dysplasia, heart conditions, cancer"
Basenji,13.5,41.91,10.43262451,"Independent, Smart, Poised","Hip dysplasia, epilepsy, bladder stones"
Whippet,13.5,50.8,14.74175203,"Affectionate, Playful, Calm","Hip dysplasia, eye problems, cancer"
Nederlandse Kooikerhondje,13.5,39.37,11.33980925,"Friendly, Alert, Quick","Hip dysplasia, cancer, skin allergies"
Central Asian Shepherd Dog,12.54054312,67.31,44.90564463,"Independent, Courageous, Self-Confident","Breathing problems, eye problems, hip dysplasia"
Affenpinscher,13.5,26.035,3.855535145,"Confident, Famously Funny, Fearless","Hip dysplasia, cancer, heart conditions"
Romanian Mioritic Shepherd Dog,13,65.405,52.16312255,"Loyal, Independent, Confident Guardian","Dental problems, eye issues, skin allergies"
Braque Francais Pyrenean,12.54054312,52.705,21.54563758,"Friendly, Smart, Willing to Please","Hip dysplasia, heart conditions, cancer"
Bracco Italiano,12,60.96,32.88544683,"Affectionate, Intelligent, Enthusiastic","Hip dysplasia, cancer, heart conditions"
Havanese,15,25.4,4.5359237,"Intelligent, Outgoing, Funny","Hip dysplasia, heart conditions, cancer"
Afghan Hound,13.5,66.04,24.94758035,"Dignified, Profoundly Loyal, Aristocratic","Hip dysplasia, eye problems, cancer"
Perro de Presa Canario,10,60.96,43.99845989,"Confident, Calm, Strong-Willed","Dental problems, eye problems, obesity"
Basenji,13.5,41.91,10.43262451,"Independent, Smart, Poised","Dental problems, ear infections, obesity"
Transylvanian Hound,12,60.96,24.94758035,"Courageous, Good-Natured, Determined","Dental problems, eye issues, skin allergies"
Peruvian Inca Orchid,13,45.085,14.40155775,"Affectionate, Loyal, Noble","Dental problems, eye problems, bladder stones"
Schipperke,13,29.21,5.89670081,"Confident, Alert, Curious","Intervertebral disc disease, hip dysplasia, diabetes"
Sussex Spaniel,14,35.56,18.1436948,"Friendly, Merry, Even-Tempered","Dental problems, eye issues, skin allergies"
Otterhound,11.5,64.77,44.22525608,"Even-Tempered, Amiable, Boisterous","Dental problems, eye issues, skin allergies"
Australian Cattle Dog,14,46.99,19.27767573,"Alert, Curious, Pleasant","Dental problems, skin allergies, hip dysplasia"
Australian Terrier,13,26.67,7.937866475,"Affectionate, Courageous, Spirited","Breathing problems, eye problems, hip dysplasia"
Spanish Mastiff,11,80.01,77.1107029,"Affectionate, Intelligent, Kind","Dental problems, eye issues, skin allergies"
Newfoundland,9.5,68.58,56.69904625,"Sweet, Patient, Devoted","Hip dysplasia, cancer, heart conditions"
Welsh Terrier,13.5,38.1,9.0718474,"Friendly, Spirited, Intelligent","Hip dysplasia, heart conditions, cancer"
Deutscher Wachtelhund,13,49.53,21.54563758,"Friendly, Versatile, Determined","Dental problems, eye issues, skin allergies"
Bloodhound,11,63.5,43.09127515,"Friendly, Independent, Inquisitive","Hip dysplasia, eye problems, skin allergies"
Jindo,14,50.8,18.1436948,"Alert, Intelligent, Bold","Dental problems, eye issues, skin allergies"
Russian Toy,13,24.13,2.948350405,"Loyal, Smart, Charming","Hip dysplasia, eye problems, cancer"
Norwegian Buhund,13.5,43.815,14.96854821,"Confident, Smart, Perceptive","Hip dysplasia, cancer, elbow dysplasia"
Airedale Terrier,12.5,58.42,27.2155422,"Friendly, Clever, Courageous","Hip dysplasia, heart conditions, cancer"
Taiwan Dog,11,46.99,14.96854821,"Loyal, Versatile, Intelligent","Breathing problems, eye problems, hip dysplasia"
Miniature Pinscher,14,28.575,4.08233133,"Fearless, Fun-Loving, Proud","Dental problems, eye issues, skin allergies"
Japanese Spitz,13,34.29,7.937866475,"Loyal, Playful, Smart","Breathing problems, eye problems, hip dysplasia"
Treeing Walker Coonhound,12.5,59.69,27.2155422,"Smart, Brave, Courteous","Dental problems, pancreatitis, diabetes"
Lhasa Apso,13.5,26.67,6.80388555,"Confident, Smart, Comical","Dental problems, skin allergies, hip dysplasia"
Löwchen,15,30.48,5.669904625,"Affectionate, Outgoing, Positive","Hip dysplasia, eye problems, skin allergies"
Doberman Pinscher,11,66.04,36.2873896,"Loyal, Fearless, Alert","Hip dysplasia, heart conditions, cancer"
Saint Bernard,9,71.12,68.0388555,"Playful, Charming, Inquisitive","Dental problems, skin allergies, hip dysplasia"
Eurasier,14,54.61,24.94758035,"Confident, Calm, Family-Oriented","Dental problems, eye problems, bladder stones"
Taiwan Dog,11,46.99,14.96854821,"Loyal, Versatile, Intelligent","Dental problems, eye issues, skin allergies"
English Setter,12,63.5,28.34952312,"Friendly, Mellow, Merry","Dental problems, skin allergies, hip dysplasia"
Papillon,15,24.13,3.401942775,"Friendly, Alert, Happy","Dental problems, eye issues, skin allergies"
Mastiff,8,73.025,79.37866475,"Courageous, Dignified, Good-Natured","Dental problems, eye issues, skin allergies"
Mastiff,8,73.025,79.37866475,"Courageous, Dignified, Good-Natured","Hip dysplasia, heart conditions, cancer"
Dandie Dinmont Terrier,13.5,24.13,9.52543977,"Independent, Smart, Proud","Dental problems, eye issues, skin allergies"
Akita,11.5,66.04,45.359237,"Courageous, Dignified, Profoundly Loyal","Hip dysplasia, eye problems, cancer"
Berger Picard,12.5,59.69,27.2155422,"Loyal, Good-Natured, Observant","Ear infections, hip dysplasia, eye problems"
Irish Wolfhound,7,78.74,51.02914163,"Courageous, Dignified, Calm","Dental problems, eye issues, skin allergies"
Neapolitan Mastiff,8,69.85,58.9670081,"Loyal, Dignified, Watchful","Dental problems, eye issues, skin allergies"
Russian Toy,13,24.13,2.948350405,"Loyal, Smart, Charming","Dental problems, eye issues, skin allergies"
Portuguese Water Dog,12,50.8,21.54563758,"Affectionate, Adventurous, Athletic","Dental problems, ear infections, obesity"
Doberman Pinscher,11,66.04,36.2873896,"Loyal, Fearless, Alert","Dental problems, eye issues, skin allergies"
German Longhaired Pointer,13,63.5,30.61748498,"Versatile, Calm, Family-Oriented","Dental problems, eye issues, skin allergies"
Portuguese Podengo,11,55.88,22.90641469,"Independent, Alert, Intelligent","Dental problems, eye issues, skin allergies"
Basset Fauve de Bretagne,12,35.56,14.06136347,"Smart, Cheerful, Determined","Hip dysplasia, epilepsy, bladder stones"
Rhodesian Ridgeback,10,64.77,35.15340868,"Affectionate, Dignified, Even-Tempered","Dental problems, eye problems, bladder stones"
Entlebucher Mountain Dog,12,46.99,23.81359943,"Loyal, Smart, Enthusiastic","Dental problems, eye issues, skin allergies"
Dachshund,14,17.78,9.752235955,"Friendly, Curious, Spunky","Hip dysplasia, heart conditions, cancer"
Schapendoes,13.5,45.72,18.37049099,"Friendly, Watchful, Lively","Hip dysplasia, eye problems, cancer"
Entlebucher Mountain Dog,12,46.99,23.81359943,"Loyal, Smart, Enthusiastic","Hip dysplasia, eye problems, cancer"
Black Russian Terrier,11,71.12,47.62719885,"Intelligent, Calm, Powerful","Dental problems, eye issues, skin allergies"
Border Collie,13.5,50.8,19.27767573,"Affectionate, Smart, Energetic","Dental problems, eye issues, skin allergies"
English Springer Spaniel,13,49.53,20.41165665,"Friendly, Playful, Obedient","Dental problems, eye issues, skin allergies"
Irish Water Spaniel,12.5,57.15,25.62796891,"Playful, Hardworking, Brave","Intervertebral disc disease, hip dysplasia, diabetes"
Chinook,13.5,60.96,31.7514659,"Smart, Patient, Devoted","Eye problems, respiratory issues, skin allergies"
Transylvanian Hound,12,60.96,24.94758035,"Courageous, Good-Natured, Determined","Dental problems, skin allergies, hip dysplasia"
Bull Terrier,12.5,54.61,27.2155422,"Playful, Charming, Mischievous","Dental problems, eye problems, bladder stones"
English Toy Spaniel,11,24.13,4.98951607,"Gentle, Playful, Intelligent","Dental problems, eye issues, skin allergies"
Belgian Tervuren,13,60.96,27.2155422,"Courageous, Alert, Intelligent","Hip dysplasia, eye problems, cancer"
Beagle,12.5,35.56,9,"Friendly, Curious, Merry","Hip dysplasia, eye problems, cancer"
Whippet,13.5,50.8,14.74175203,"Affectionate, Playful, Calm","Hip dysplasia, obesity, ear infections"
Xoloitzcuintli,15.5,41.91,14.74175203,"Loyal, Alert, Calm","Hip dysplasia, eye problems, cancer"
English Cocker Spaniel,13,40.64,13.6077711,"Energetic, Merry, Responsive","Hip dysplasia, cancer, heart conditions"
Beauceron,11,65.405,40.8233133,"Gentle, Faithful, Obedient","Ear infections, hip dysplasia, eye problems"
Hovawart,12,64.77,35.15340868,"Alert, Faithful, Intelligent","Dental problems, eye issues, skin allergies"
Great Pyrenees,11,72.39,41.95729423,"Smart, Patient, Calm","Dental problems, eye issues, skin allergies"
Doberman Pinscher,11,66.04,36.2873896,"Loyal, Fearless, Alert","Dental problems, respiratory issues, eye problems"
Pointer,14.5,64.77,27.2155422,"Loyal, Hardworking, Even-Tempered","Eye problems, respiratory issues, skin allergies"
